School Name,Tier_x,Overall_Score,Tier_y,Overall Score,Student Performance 75 points,"Family, Community, & Culture 10 points",Teacher & Learning 7.5 Points,Leadership & Collaboration 7.5 Points,Drop-Out Rate,ELA Achievement Gap,ELA Growth,ELA Growth - High-Performing Students,ELA Growth - Low-Performing Students,ELA Growth - Subgroups,English Learner Growth,Graduate in 4 Years,Graduate in 5 Years,Math Achievement Gap,Math Growth,Math Growth - High-Performing Students,Math Growth - Low-Performing Students,Math Growth - Subgroups,School Meets ELA MCAS Goals,School Meets ELA MCAS Goals - Subgroups,School Meets Math MCAS Goals,School Meets Math MCAS Goals - Subgroups,School Meets Science MCAS Goals,Students Set Goals and Persist,Students in College after Graduation,College and Career Readiness,Rigorous Curriculum,School has Effective Leadership,Teacher Effectiveness,Leadership Engages the Community,Leadership Supports Teachers,Rate of Returning Teachers,Staff Collaboration and Community,Challenging Academic Environment,Chronic Absenteeism,Family Engagement,Inclusive of Families and Community,Safety,Staff Diversity,Student Engagement and Enthusiasm,Suspensions,Welcomed and Involved Families
Ellis Mendell Elementary School,3.0,46,3.0,46.0,29.6,6.4,5.0,4.9,,,50.0,50.0,50.0,62.5,25.0,,,,50.0,50.0,50.0,62.5,,,,,50.0,62.5,,,75.0,50.0,75.0,62.5,62.5,62.5,75.0,75.0,,87.5,70.8,50.0,87.5,75.0,,68.8
Dudley Street Neighborhood Charter School,4.0,45,4.0,45.0,27.5,8.0,5.0,4.2,,,50.0,,,37.5,50.0,,,,50.0,,,37.5,,,,,75.0,75.0,,,75.0,50.0,75.0,62.5,62.5,50.0,50.0,75.0,100.0,100.0,81.3,50.0,75.0,75.0,,87.5
Edward Everett Elementary School,4.0,44,4.0,44.0,24.4,7.9,5.6,6.1,,,50.0,50.0,,62.5,75.0,,,,25.0,25.0,,37.5,,25.0,,8.3,,75.0,,,75.0,75.0,75.0,87.5,87.5,62.5,87.5,75.0,100.0,87.5,75.0,75.0,56.3,75.0,,87.5
Dr. William W. Henderson K-12 Inclusion School,4.0,44,4.0,44.0,29.9,5.6,4.7,3.8,,25.0,50.0,25.0,50.0,54.9,50.0,57.1,71.4,,50.0,,50.0,40.1,34.9,56.3,50.0,43.8,15.1,62.5,50.0,,75.0,50.0,75.0,50.0,50.0,50.0,50.0,75.0,,62.5,66.7,50.0,87.5,62.5,25.0,75.0
Excel High School,4.0,29,4.0,29.0,17.1,4.2,3.3,4.0,25.0,,,,,,100.0,42.9,50.0,,50.0,,,,,,,,,25.0,,25.0,37.5,62.5,50.0,50.0,50.0,62.5,50.0,37.5,,87.5,29.2,37.5,100.0,37.5,25.0,25.0
Dr. Catherine Ellison - Rosa Parks Early Education School,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Egleston Community High School,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Boston Early Education Center,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harriet A. Baldwin Early Learning Pilot Academy,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dante Alighieri Elementary Montessori School,1.0,94,1.0,94.0,73.1,8.5,5.9,6.3,,100.0,100.0,,,,,,,100.0,100.0,,,,100.0,,100.0,,,75.0,,,75.0,87.5,75.0,100.0,100.0,50.0,87.5,75.0,100.0,100.0,91.7,100.0,50.0,75.0,,87.5
Curtis Guild Elementary School,1.0,89,1.0,89.0,68.6,8.0,5.6,6.3,,,100.0,,100.0,100.0,75.0,,,,100.0,,75.0,100.0,100.0,50.0,100.0,100.0,,75.0,,,75.0,75.0,75.0,87.5,87.5,75.0,87.5,75.0,100.0,100.0,87.5,81.3,18.8,75.0,,100.0
